word,meaning_short,meaning_raw,tsl rank
mister,《M-》…『さん』,"《M-》…『さん』,…氏,…様,…殿,…先生 / 《話》《単独で呼び掛けとして用いて》あなた,君,だんな / 〈C〉…さんと呼ばれるだけの人,普通の人",1
vacation,〈C〉《おもに米》『休暇』,"〈C〉《おもに米》『休暇』,休み(《英》holiday) / 〈C〉〈U〉《文》(部屋・家・土地などを)明け渡すこと,立ちのき;辞職,退任《+of+名》 / (…で)『休暇をとる』《+at(in)+名》",2
client,[『弁護』]『依頼人』,"[『弁護』]『依頼人』,訴訟依頼人 / (商売上の)おとくい(customer)",3
e-book,電子書籍,電子書籍,4
airport,空港,空港,5
memo,メモ,"メモ,覚え書き / (会社内などの)連絡メモ",6
reservation,〈C〉《おもに米》(劇場の座席・ホテルなどの)『予約』,"〈C〉《おもに米》(劇場の座席・ホテルなどの)『予約』,指定;予約されたもの(こと) / 〈C〉《米》(インディアン・軍隊などの)指定保留地 / 〈C〉〈U〉(…についての)疑い,心配《+『about』+『名』(do『ing』)》 / 〈C〉〈U〉留保,制限,条件",7
logical,論理学の ,"論理学の / 論理的な / (論理上)必然の,不可避の",8
fax,ファックス,ファックス,9
o'clock,《時間を表す数と共に》…『時』(じ) ,《時間を表す数と共に》…『時』(じ) / (自分の位置を時計の文字盤の中央に置いて)…時の位置(方角)に,10
sincerely,『真心込めて』,"『真心込めて』,心から",11
sometime,(未来の)『いつか』;そのうち ,"(未来の)『いつか』;そのうち / (過去の)あるとき;以前 / かつての,以前の(former)",12
supervisor,監督者,"監督者,管理人",13
refund,〈金など〉を返済する,"〈金など〉を返済する,払い戻す / (金などの)返済,払い戻し;返済金,払い戻し金",14
goods,(不動産以外の)財産,"(不動産以外の)財産,(金・証券以外の)動産 / 『商品』,品物 / 《米》反物,織物 / 《英》(鉄道で運ばれる)貨物",15
workshop,仕事場,"仕事場,工作場 / 《米》(セミナー形式の)研究会,討論会",16
downtown,(都市の中心の)商業地区へ(で),"(都市の中心の)商業地区へ(で),町の中心街へ(で) / 商業地区の(にある),町の中心街の(にある) / (市の中心街をなす)商業地区,下町",17
deadline,最終期限;(新聞・雑誌などの)原稿〆切(締切)時間・最終期限,最終期限;(新聞・雑誌などの)原稿〆切(締切)時間・最終期限,18
invoice,送り状(値段や輸送料をつけて,"送り状(値段や輸送料をつけて,買い手に送る品物のリスト) / …の送り状を作る",19
brochure,小冊子,"小冊子,パンフレット(pamphlet)",20
noon,(また『noonday,"(また『noonday,noontide,noontime』)『正午』;真昼(midday) / 《the noon》(…の)最盛期《+『of』+『名』》",21
accountant,会計係,"会計係,会計士,計理士",22
